Restaurant Name,Restaurant Type,Rate (Out Of 5),Num Of Ratings,Avg Cost (Two People),Online_Order,Table Booking
Ahmed's Little Hut,Quick Bites,2.8,40,250,Yes,No
Ahmeds Takeaway Restaurant,"Takeaway, Delivery",2.8,40,250,No,No
Aioli,Casual Dining,4.2,783,1400,No,Yes
Airlines Hotel,Quick Bites,4,867,400,Yes,No
Aisha Tharavad,Quick Bites,,40,400,No,No
Aishwarya,Dhaba,3.3,6,450,No,No
Aishwarya Parkland,Casual Dining,2.9,59,500,No,No
Aishwarya Sweets,Sweet Shop,3.6,24,250,Yes,No
Aishwarya Uphar,Quick Bites,2.8,40,150,No,No
Ajwa Thalassery Biryani,Quick Bites,3.9,42,500,Yes,Yes
Akkad Bakkad,Casual Dining,3.9,72,600,Yes,Yes
AKS Family Dhaba And Restaurant,Quick Bites,3.6,40,500,Yes,No
Akshara,Casual Dining,3.8,42,700,Yes,No
Akshatha Nati Style,Quick Bites,3.7,20,500,No,No
Akshaya Bar And Restaurant,"Casual Dining, Bar",2.8,40,600,Yes,No
AKSHAYA BIRYANI,Quick Bites,3.6,20,300,Yes,No
Akshaya Deluxe,Casual Dining,4,336,500,Yes,No
Akshaya Donne Biriyani,Quick Bites,3,39,300,Yes,No
Akshaya Family Restaurant,Quick Bites,3.2,4,150,Yes,No
Akshaya Grand,Casual Dining,3.4,29,750,Yes,No
Akshaya Sambrama Veg Restaurant,Quick Bites,3.2,13,200,No,No
Akss - India Reimagined,Casual Dining,4.2,258,1800,No,Yes
Al Amal Cafe,"Cafe, Quick Bites",4,74,300,No,No
Al Amanah Cafe,Quick Bites,4.4,1413,300,Yes,No
Al Ameen Rolls Corner,Quick Bites,3.7,16,200,No,No
Al Barack Cafetaria,Quick Bites,3.6,20,300,No,No
Al Daaz,Casual Dining,4.2,567,550,Yes,No
Al Diwan Biryanis And More,"Takeaway, Delivery",3.2,12,300,Yes,No
Al Ghani Resetaurant,Quick Bites,3.3,4,400,No,No
Al Habibi Restaurant,Quick Bites,3.5,17,300,Yes,No
Al Hayath,Quick Bites,3.5,16,200,No,No
Al Hayath Ambur Biryani,Quick Bites,3.3,9,200,No,No
Al Karim,Casual Dining,3.7,90,,No,No
Al Khaleej Snacks Corner,Quick Bites,2.8,40,200,No,No
Al Khansah,Casual Dining,3.9,370,550,Yes,No
Al Khwaja,Casual Dining,3,13,400,No,No
Al Madhina Roll House,Quick Bites,3.4,6,300,No,No
Al Madina Family Restaurant,Quick Bites,2.8,40,500,No,No
Al Madina Roll House,Quick Bites,3.6,16,150,Yes,No
Al Manar,Quick Bites,2.8,40,400,No,No
Al Noor,Quick Bites,3.7,21,350,No,No
Al Sadique,Quick Bites,3.9,185,450,Yes,No
Al Sadique Restaurant,Quick Bites,3.4,32,350,No,No
Al Swaad Take Away,Quick Bites,3.1,12,350,Yes,No
Al Taj Fast Food,Quick Bites,3.2,4,600,Yes,No
Al Zaiqa Hotel,Quick Bites,3.4,14,200,Yes,No
Alampur Bar And Restaurant,Casual Dining,3.7,42,900,Yes,No
Alankar Restaurant,Casual Dining,2.8,40,800,No,No
Alankrutha,Casual Dining,3.8,260,500,Yes,No
Alba - JW Marriott Bengaluru,Fine Dining,4.4,561,4000,No,Yes
Al-Badia Restaurant,Casual Dining,4.2,89,700,No,No
Al-Baik Kabab Corner,Quick Bites,3.2,25,350,Yes,No
Al-Baik Tandoori Restaurant,Quick Bites,3.6,113,450,Yes,No
Al-Bek,Casual Dining,3.9,682,650,Yes,No
Albert Bakery,Bakery,4.3,346,150,No,No
Alchemy - The Chancery Pavilion,"Microbrewery, Casual Dining",4.3,446,2000,No,Yes
Alchemy Coffee Roasters,Cafe,4.2,704,500,No,No
Alfa Family Restaurant,Casual Dining,3,27,400,No,No
Alfresco by Bene -Sheraton Grand Bangalore Hotel at...,"Bar, Casual Dining",3.7,77,2000,No,Yes
Al-Hyatt,Quick Bites,,40,300,No,No
Ali Snacks Point,Quick Bites,3.4,5,150,Yes,No
Alibaba Cafe and Restaurant,Casual Dining,2.9,55,700,No,No
Alibi - Maya International Hotel,Casual Dining,1.8,224,1200,No,No
AlienSip,Beverage Shop,3.6,11,200,Yes,No
Alif Restaurant,Casual Dining,3.6,26,600,Yes,No
Aligarh House,Delivery,4.4,98,400,Yes,No
Alikemom,"Takeaway, Delivery",2.8,40,300,Yes,No
All Aromas,Quick Bites,2.8,40,400,Yes,No
All Saints Bakery,Bakery,3.6,23,200,No,No
All Shook Up,"Dessert Parlor, Beverage Shop",3.6,34,300,Yes,No
All Shook Up!,"Dessert Parlor, Beverage Shop",3.6,19,300,Yes,No
Allahabadi Tadaka,Casual Dining,2.9,46,250,No,No
Allana Kabab,Quick Bites,3.3,4,200,No,No
Alloro - The Oterra,Fine Dining,4,63,2500,No,Yes
Al-Madina,"Takeaway, Delivery",3.3,8,500,No,No
Al-Madina Restaurant,Casual Dining,3.4,22,400,No,No
Al-Marhaba Restaurant,Quick Bites,2.8,40,400,Yes,No
Al-Noor Restaurant,Quick Bites,2.8,40,400,Yes,No
Alpha - House of Biryani & Tandoor,Casual Dining,3.3,387,800,Yes,No
Al-Sidique,Quick Bites,4,314,400,Yes,No
alt,"Bar, Lounge",4.1,821,1900,No,Yes
Altaf's Chillies Restaurant,Casual Dining,3.8,229,500,Yes,No
Altaj Restaurant,Casual Dining,3.3,6,700,No,No
Al-Taj Restaurant,Casual Dining,3.3,10,600,Yes,No
Alter Ego D'Deli,Cafe,3.8,140,650,Yes,No
Alto Vino - Bengaluru Marriott Hotel Whitefield,Fine Dining,4.3,263,3000,No,Yes
AM WOW,Beverage Shop,3.4,6,100,Yes,No
Amadora Gourmet Ice Cream & Sorbet,Dessert Parlor,2.8,40,500,No,No
Amande Patisserie,Bakery,4,73,300,Yes,No
Amanthrana Gardenia,Casual Dining,3.8,107,800,Yes,No
Amantrana,Casual Dining,3.2,15,800,No,No
Amar Kolkata,Quick Bites,3.2,4,300,No,No
Amara Food Point,"Takeaway, Delivery",3.3,4,250,No,No
Amaravathi Bar & Restaurant,"Casual Dining, Bar",3.7,43,400,No,No
Amaravathi Mess,Quick Bites,3.6,108,400,Yes,No
Amaravati,Quick Bites,3.6,39,400,No,No
Amaravati - Pure Veg Restaurant,Quick Bites,3.5,93,350,Yes,No
Amaravati Authentic Andhra Restaurant,Casual Dining,3,148,600,Yes,No
Amaravati Food Court,Quick Bites,3.3,7,300,Yes,No
Amaravati Grand,Casual Dining,3.3,7,550,No,No
Amazing Blue Pub,Pub,3.4,10,900,No,No
Ambara Gardenia,Casual Dining,3.8,256,800,Yes,Yes
Ambarsaria,Casual Dining,2.7,57,800,No,No
Amber Rush by The Pool,"Bar, Casual Dining",3.9,140,1500,No,No
Amber Rush Restobar,Pub,4.1,93,1000,No,Yes
Ambika Biryani Corner,Quick Bites,3.5,37,300,No,No
Ambika Vegetarian Hotel,Casual Dining,3.7,31,500,No,No
Ambujam's Chettinad Mess,"Quick Bites, Mess",3.2,27,400,Yes,No
Ambur Azad Darbar,Quick Bites,3.1,6,250,No,No
Ambur Biriyani,Quick Bites,3.2,4,200,No,No
Ambur Biriyani Centre,Quick Bites,3.2,6,150,No,No
Ambur Biriyani Classic,Casual Dining,3.3,136,700,Yes,No
Ambur Biriyani Point,Quick Bites,3.6,26,150,No,No
Ambur Biriyani Zone,Quick Bites,3.2,4,200,No,No
Ambur Biryani,Quick Bites,3.2,5,450,No,No
Ambur Biryani Hotel,Quick Bites,3.2,13,200,No,No
Ambur Biryani Mess,Mess,3.4,18,250,No,No
Ambur Biryani Point,Quick Bites,3.3,8,150,No,No
Ambur Chicken Biryani,Quick Bites,3.1,9,250,No,No
Ambur Darbar Biriyani Point,Quick Bites,3.2,24,200,Yes,No
Ambur Dum Biriyani,Quick Bites,2.8,40,160,No,No
Ambur Dum Biryani,Quick Bites,2.8,40,300,No,No
Ambur Hot Dum Biriyani,Quick Bites,3.1,6,200,No,No
Ambur Hot Dum Biryani,Quick Bites,3,9,200,No,No
Ambur Star Biryani,Quick Bites,3.5,22,200,No,No
Ambur Star Briyani,Casual Dining,3.6,17,500,Yes,No
Ambur Star Dum Biriyani,Quick Bites,3.2,4,200,No,No
Ambur Star Dum Biryani,Quick Bites,2.8,40,250,No,No
Ambur Tasty Biriyani,Quick Bites,3.2,4,200,No,No
Amchoor,Quick Bites,3.8,38,250,Yes,No
Amdo's Corner Tibetan Foods,Quick Bites,4,47,250,No,No
American Bites,Quick Bites,2.4,48,450,Yes,No
American Desserts,"Takeaway, Delivery",3.6,23,500,Yes,No
Amexicano,Food Truck,3.8,31,400,No,No
Amigos Kitchen,Quick Bites,3.7,64,400,Yes,No
Amjad Bhai's Star Hotel - Home Food Only,Quick Bites,2.8,40,300,No,No
Ammachide Addukala,Quick Bites,3.5,6,300,No,No
Amma's Biryani & Rice,Quick Bites,2.8,40,300,Yes,No
Amma's Cafe,Quick Bites,3.2,6,300,No,No
Amma's Pastries,Bakery,3.9,130,400,No,No
Amma's Special,Quick Bites,,40,400,No,No
Ammayi Thakkaram,Quick Bites,,40,400,No,No
Ammi's Biryani,Casual Dining,2.7,171,500,Yes,No
Ammus Hot N Cool,Quick Bites,3.4,84,300,Yes,No
Amnesia - The Poolside Bar,"Casual Dining, Bar",3.7,15,2000,No,No
Amoeba Sports Bar,"Lounge, Bar",3.9,568,1000,Yes,Yes
Amontron,Casual Dining,3.9,435,650,Yes,No
Amour Fine Patisserie,"Cafe, Dessert Parlor",4,82,500,Yes,Yes
Amravathi Restaurants & Caterers,Quick Bites,3.1,6,400,No,No
Amrit,Food Court,3.4,24,600,No,No
Amrita Nadia Sweets,Sweet Shop,3.2,4,400,Yes,No
Amrith Ice Cream,Dessert Parlor,4.1,81,100,No,No
Amritsari Kulcha Bite,Quick Bites,3.9,99,150,Yes,No
Amritsari Kulcha Land,Quick Bites,4,260,300,Yes,No
Amrut,Quick Bites,3.5,250,300,Yes,No
Amruta,Casual Dining,3.8,20,600,No,No
Amruth Parkland,"Bar, Casual Dining",3.5,54,900,No,No
Amrutha Foods,Quick Bites,2.8,40,300,No,No
Amrutha Grand Restaurant,Casual Dining,3.2,204,500,Yes,No
Amrutha Mess,Quick Bites,3.4,5,300,No,No
Amrutha Sweets,Quick Bites,3.5,13,200,No,No
AM's Cafe Recreate,"Takeaway, Delivery",3.3,8,250,Yes,No
Amul Ice Cream,Dessert Parlor,2.8,40,100,Yes,No
An Egg Story,Cafe,4,241,600,No,No
Anamika Roll Centre,Quick Bites,3.2,4,300,No,No
Anand Donne Biriyani,Quick Bites,3.6,45,200,Yes,No
Anand Sagar Inn,Casual Dining,3.2,6,450,No,No
Anand Sweets and Savouries,Quick Bites,4,99,400,Yes,No
Anand Vihar,Quick Bites,2.5,58,,No,No
Anda Ka Funda,Quick Bites,3.1,14,300,Yes,No
Anda Special-Pav Bhaji,Quick Bites,3.4,8,200,Yes,No
Andal Mess,Mess,3.1,22,300,Yes,No
Ande Ka Funda,Quick Bites,2.8,60,250,No,No
Andhra Amigos,Casual Dining,3.6,81,350,Yes,No
Andhra Bhojanam,Casual Dining,3.6,21,600,No,No
Andhra Biriyani Palace,Quick Bites,2.8,40,250,Yes,No
Andhra Biryani & Curries,Quick Bites,3.1,4,400,Yes,No
Andhra Biryanis,Casual Dining,4,108,700,Yes,No
Andhra Box,Quick Bites,3.2,4,400,No,No
Andhra Central,Food Court,3.1,13,400,Yes,No
Andhra Chettinad Cuisine,Quick Bites,3.6,24,250,No,No
Andhra Express,"Takeaway, Delivery",3.7,19,300,Yes,No
Andhra Food Cafe (AFC),Quick Bites,3.3,46,250,Yes,No
Andhra Ghumaghumalu,Quick Bites,2.8,40,300,Yes,No
Andhra Grills,Casual Dining,3,55,800,No,No
Andhra Kafe,Casual Dining,3.8,241,550,Yes,No
Andhra Kitchen,Quick Bites,3.9,45,400,Yes,No
Andhra Mess,Mess,2.8,17,400,Yes,No
Andhra Paris,Quick Bites,3.2,5,250,Yes,No
Andhra Ruchi's Restaurant,Delivery,3.1,72,500,Yes,No
Andhra Ruchulu,Casual Dining,4.2,1428,800,Yes,Yes
Andhra Spice,Casual Dining,2.8,40,600,No,No
Andhra Spice Mess,Quick Bites,3.4,9,250,Yes,No
Andhra Spices,Quick Bites,3.2,4,,No,No
Andhra Spicy,Quick Bites,3.5,11,400,No,No
Andhra Spicy Food Court,Quick Bites,3.2,22,400,Yes,No
Andhra Spicy Inn,Quick Bites,2.8,40,450,Yes,No
Andhra Star Biryani,Quick Bites,3.2,6,200,No,No
Andhra Vantakam,Casual Dining,3.9,317,800,Yes,No
Andhra Vantillu,Quick Bites,3.3,4,350,No,No
Andhra Vilaas,Quick Bites,3.7,52,350,Yes,No
Andhra Vindu Multi Cuisine Restaurant,Casual Dining,3.3,11,600,Yes,No
Andy's Caf�,Cafe,3.1,12,300,No,No
Angaar Biriyani,Quick Bites,3.7,92,400,Yes,No
Angaar Indian Grill & Restaurant,Casual Dining,3.9,121,600,No,No
Angel Mess,Quick Bites,3.5,17,200,No,No
Angel Mutton Leg Soup,Quick Bites,3.5,22,200,No,No
Angel Restaurant,Quick Bites,2.8,165,450,Yes,No
Angel's Kitchen,Quick Bites,3.5,10,300,No,No
Angiie's Cafe,Quick Bites,3.7,29,450,Yes,No
Anika's India Kitchen,Delivery,3.3,5,250,Yes,No
Aniram's,Delivery,4.1,739,500,Yes,No
Anjappaar,Casual Dining,3.9,96,650,No,No
Anjappar,Casual Dining,2.7,40,650,No,No
Anju's Cafe,Cafe,3.4,6,600,No,No
Anna Kuteera,Casual Dining,3.8,62,400,No,No
Annabell,"Quick Bites, Beverage Shop",4,264,700,Yes,No
Annalakshmi,Casual Dining,3.5,28,700,No,No
Annapoorani,Casual Dining,3.9,434,400,No,No
Annapoorni Grand,Casual Dining,3.9,82,450,No,No
Annappa's Naati Mane,Quick Bites,3.5,73,400,No,No
