Restaurant Name,Restaurant Type,Rate (Out Of 5),Num Of Ratings,Avg Cost (Two People),Online_Order,Table Booking
Sharon Hotel,Quick Bites,2.8,40,300,No,No
Shater Grill House,Casual Dining,3.5,8,700,No,No
Shawarma & Kolkata Rolls,Quick Bites,3.3,4,100,No,No
Shawarma Bae,Quick Bites,3.3,8,200,No,No
Shawarma Bite,Quick Bites,2.8,40,200,No,No
Shawarma Hunt,Quick Bites,3.4,9,300,No,No
Shawarma Inc,Food Court,3,28,250,Yes,No
Shawarma King Restaurant,Quick Bites,3.4,39,500,Yes,No
Shawarma Time,Quick Bites,3.7,78,300,Yes,No
She Brews,Cafe,3.7,159,400,Yes,No
Shebestan - Sterlings MAC Hotel,Casual Dining,4.2,405,1500,No,Yes
Sheesh Kebab,Casual Dining,4,76,700,Yes,No
Shee-Sha Cafe,"Cafe, Casual Dining",3.6,39,800,No,Yes
Shekhawati Restaurant,Quick Bites,3.7,62,300,Yes,No
Sher-E-Punjab,Quick Bites,3.1,22,400,Yes,No
Sherlock's Cafe,Cafe,3.6,42,350,Yes,No
Sherlock's Pub,"Pub, Casual Dining",3.2,271,1500,Yes,Yes
Shetty's Kitchen,Quick Bites,3.7,108,600,Yes,No
Shezan,Casual Dining,4.1,391,600,Yes,No
Shift,"Lounge, Casual Dining",4.2,1867,1500,Yes,Yes
Shilpa Gulati's Desserts,Bakery,3.6,16,600,No,No
Shilpa Veg,Quick Bites,3.6,37,250,No,No
Shiro,"Fine Dining, Lounge",4.4,2229,3000,Yes,Yes
Shiv Sagar,Casual Dining,2.8,40,800,No,No
Shiv Sager,Food Court,3,10,200,No,No
Shiv Sai,Quick Bites,3.2,4,400,No,No
Shiv Sai Hotel,Quick Bites,3.5,74,400,Yes,No
Shiv Shakthi,Quick Bites,4,175,100,Yes,No
Shiv Shankar Chaats,Quick Bites,3.7,19,150,No,No
Shiv Shankar Hotel,Quick Bites,3.5,10,350,No,No
Shiva Sai Andhra Hotel,Quick Bites,3.2,4,300,No,No
Shivaay's Cafe,"Cafe, Dessert Parlor",2.8,40,400,No,No
Shivaji Maratha Hotel,Quick Bites,3.4,10,400,No,No
Shivaji Military Hotel,Casual Dining,4.3,2486,450,No,No
Shivajinagar Gardi Ustad Pehlwan Kale Bhai Biryani,Quick Bites,3.6,26,300,No,No
Shiva's Bar And Restaurant,"Bar, Casual Dining",2.8,40,800,No,No
Shivas Family Restaurant,Casual Dining,3.4,8,550,No,No
Shiva's Naram Garam,Quick Bites,3.3,4,250,No,No
Shizusan Shophouse & Bar,"Casual Dining, Bar",4.4,1313,1800,Yes,Yes
Shoiab Family Restaurant,Casual Dining,3.6,14,600,Yes,No
Sholay - The Barbeque,Casual Dining,3.5,45,1200,Yes,Yes
Shradhi Lunch Home,Quick Bites,3.2,4,400,No,No
Shree Annapoorneshwari Mess,Mess,3.3,7,200,No,No
Shree Balaji Paratha House,Quick Bites,3,17,200,No,No
Shree Cool Point,Quick Bites,4.1,28,150,Yes,No
Shree Durga,Quick Bites,3.2,7,500,No,No
Shree Durgamba Juice Centre,Beverage Shop,3.1,9,200,Yes,No
Shree Guru Juice 'N' Ice,Quick Bites,3.3,5,250,Yes,No
Shree Guru Raghavendra Chats Chintamani Special,Quick Bites,3.6,26,200,Yes,No
Shree Guru Sagar,Quick Bites,3.5,40,500,Yes,No
Shree Guru Sagar Fast Food,Quick Bites,3.6,28,300,Yes,No
Shree K Foods,Quick Bites,2.8,40,300,Yes,No
Shree Khana Khazana,Casual Dining,3.9,356,450,Yes,No
Shree Krishna Sannidhi,Quick Bites,3.4,76,450,Yes,No
Shree Mahalakshmi Sweets,Sweet Shop,3.2,8,100,Yes,No
Shree Mandarathi Grand,Casual Dining,3.7,38,400,Yes,No
Shree Manjunatha Bar and Restaurant,Casual Dining,3.4,9,550,No,No
Shree Maruthi Sweets,Sweet Shop,3.2,4,250,No,No
Shree Mithai,Quick Bites,3.5,11,,No,No
Shree Muthahalli Veg,Quick Bites,4.1,840,300,Yes,No
Shree Nandini Andhra Mess,Mess,3.3,5,150,No,No
Shree Ranga Vilas,Casual Dining,3.2,7,500,No,No
Shree Sadguru Refreshment,Quick Bites,3.2,4,400,No,No
Shree Sagar,Casual Dining,2.8,33,500,No,No
Shree Saraswathi Sweets Centre,Sweet Shop,3.6,18,100,Yes,No
Shree Thali,Mess,4,181,150,No,No
Shree Udupi Grand,Casual Dining,3.5,17,450,Yes,No
Shree Udupi South kitchen,Quick Bites,2.8,40,150,No,No
Shree Venkateshwara North Karnataka Hotel,Quick Bites,4,64,200,No,No
Shreedevi,Quick Bites,3.7,130,600,No,No
Shreeji Restaurant,"Takeaway, Delivery",3.8,36,300,Yes,No
Shreya Ranna Ghar,Quick Bites,3.3,6,350,No,No
Shreyas Upahar & Burger Point,Quick Bites,3,7,200,Yes,No
Shri Family Restaurant,Quick Bites,3.3,7,400,Yes,No
Shri Guru Raghavendra Grand Veg,Quick Bites,2.8,40,400,No,No
Shri Krishna Bhavan,Quick Bites,3.7,96,350,No,No
Shri Lakshami Venkateshwara Iyengar's Bakery,"Bakery, Dessert Parlor",3.5,11,250,No,No
Shri Lakshmi Vilas Andhra Mess - Taste of Vijayawada,Quick Bites,2.8,40,500,Yes,No
Shri Madhuram,Casual Dining,3.9,371,400,No,No
Shri Ram Sweet Centre,"Quick Bites, Sweet Shop",4,160,150,No,No
Shri Sai Ram Andhra Hotel,Quick Bites,2.8,40,300,No,No
Shri Udupi Cafe,Quick Bites,3.9,31,300,Yes,No
Shri Vinayaka Ice N Juice,Quick Bites,3.1,12,150,No,No
Shri Vishnu Grand,Casual Dining,3,139,450,Yes,No
Shringar Sweets & Snacks,"Sweet Shop, Quick Bites",3.5,11,200,Yes,No
Shrinidhi Military Hotel,Quick Bites,3.3,6,300,No,No
Shrusti Coffee,"Cafe, Quick Bites",3.7,21,150,No,No
Shubh Sweets,"Quick Bites, Sweet Shop",3.9,331,400,No,No
Shuchi Ruchi,Quick Bites,4,340,350,Yes,No
Shuddh Desi Khana,Quick Bites,4,597,400,Yes,No
Shudh,Delivery,4.1,87,300,Yes,No
Shudh Desi Khana,Quick Bites,3.5,18,200,Yes,No
Shyam's Lunch Box,Quick Bites,3.2,9,300,Yes,No
Shyvan Restaurant,Casual Dining,3.6,81,500,Yes,No
Sichuan,Casual Dining,4,492,800,Yes,No
Siddappa Hotel,Quick Bites,4.1,274,150,No,No
Siddharth Restaurant,Quick Bites,3.6,33,400,No,No
Siddiqu Kabab Center,Quick Bites,4.4,178,250,No,No
Siddique Kabab Centre,Casual Dining,3.9,430,550,Yes,No
Side Street Kitchen,Quick Bites,2.8,40,400,No,No
Sidekicks,Quick Bites,3.4,9,450,No,No
Sidewalk - The Garden Bar,"Bar, Casual Dining",4.4,3003,1300,Yes,Yes
Sidewalk Cafe - Nahar's Heritage Hotel,Casual Dining,3.9,134,800,No,No
Sidewalk Cafe & Bar - The Paul Bangalore,Casual Dining,4.2,217,1500,Yes,Yes
Sidra Eatery,Quick Bites,3.9,28,400,Yes,No
Sigree Global Grill,"Casual Dining, Bar",4.4,1099,1400,No,Yes
Sihi Chocolaterie,Dessert Parlor,3.7,26,300,No,No
Sikori,Quick Bites,4.2,376,350,Yes,No
Sila Restaurant,Casual Dining,3.8,514,750,Yes,No
Silbatti,Casual Dining,3.9,1554,750,No,Yes
Silicon Spicy Bite & Sip,Quick Bites,2.8,40,200,No,No
Silsila,Casual Dining,2.7,47,800,No,No
Silsila Restaurant,Casual Dining,3.7,31,600,Yes,No
Silver Leaf - Ramee Guestline Hotels,Casual Dining,3.5,17,900,No,No
Silver Spoon,"Casual Dining, Bar",3.3,4,800,No,No
Silver Spoon Restaurant,Quick Bites,3.2,55,400,Yes,No
Silver Star,Casual Dining,3.4,9,500,No,No
Simhapuri Kitchen,Casual Dining,3.9,513,800,Yes,Yes
Simhapuri Mess,Mess,3.8,39,300,No,No
Simon Says Brew Works,"Microbrewery, Casual Dining",4.5,1932,1400,No,Yes
Simple Thindies,Quick Bites,3.5,8,200,No,No
Simply Indian,Casual Dining,3.9,681,800,Yes,Yes
Simu?s Kitchen,"Takeaway, Delivery",3.4,6,500,No,No
Sindh Kitchen,Casual Dining,4.2,166,1100,Yes,Yes
Sindhu Family Restaurant,Casual Dining,3.2,4,600,No,No
Sindhuri Restaurant,Casual Dining,3.1,19,600,Yes,No
Singh Da Dhaba,Quick Bites,3.3,5,400,No,No
Singh Punjabi Dhaba,Quick Bites,3.8,67,400,No,No
Singh Saab,Casual Dining,3.7,243,850,Yes,No
Singh Saab Dhaba,Casual Dining,3.8,21,400,Yes,No
Singh Saheb Di Rasoi,Quick Bites,3.2,10,800,Yes,No
Sintales,Cafe,3.6,44,600,Yes,No
Sip N Bite,Quick Bites,3.3,11,300,No,No
Sip n Dine,Casual Dining,3.6,218,800,Yes,No
Siridhanya Upahara Darshini,Casual Dining,3.4,5,400,Yes,No
Sitaar,Casual Dining,3.8,88,800,Yes,Yes
Sitara Veg Restaurant,Quick Bites,3.9,417,400,Yes,No
Sixth Avenue Cafe And Patisserie,"Cafe, Dessert Parlor",4.4,159,600,No,No
Sizzles,Casual Dining,2.8,40,800,No,No
Sizzling China,Food Court,2.9,23,300,Yes,No
Sizzling Pasto,"Casual Dining, Bar",4.1,99,1100,Yes,Yes
Sizzling Szechuan,Casual Dining,3.9,224,600,Yes,No
Sizzling Tandoor,Food Court,3.1,5,400,No,No
Sk Grand Hotel,Casual Dining,3.2,6,400,No,No
SK Tiffins Corner,Quick Bites,3.3,4,100,Yes,No
Skanda Cafe,Quick Bites,3.5,15,400,No,No
Skandas Veg Restaurant,Casual Dining,3.2,22,400,No,No
Sketches,Quick Bites,3.5,14,350,No,No
Skoolroom,Cafe,4.3,566,700,Yes,No
SKS Veg Corner,Quick Bites,3.4,43,300,Yes,No
SKY FOG,"Dessert Parlor, Quick Bites",3.1,6,300,No,No
Sky Juice Corner,Beverage Shop,2.8,40,100,Yes,No
Sky Lounge Bar - Svenska Design Hotel,"Bar, Casual Dining",4,537,1500,Yes,Yes
SkyDeck By Sherlock's,"Pub, Casual Dining",4.2,1418,1500,No,Yes
Skyline Family Restaurant,Casual Dining,3.2,34,550,Yes,No
Skyline Pizzeria,"Cafe, Bakery",3.9,764,600,No,No
Skylit - Citrus Hotels,Lounge,3.6,255,1500,No,Yes
Skytouch Le Cafe,Cafe,3.7,127,700,Yes,No
Skywalk Restobar,"Casual Dining, Bar",3.3,5,700,No,No
Skyye,Lounge,4.2,3116,2500,No,Yes
SL Vadapav,Quick Bites,4,78,100,Yes,No
Slanz Cafe,Cafe,3.6,99,500,Yes,No
Slate Cafe,Cafe,4.1,46,600,Yes,No
Slice of Spice,Quick Bites,3.1,4,400,No,No
SlimSins Cafe,Cafe,4.1,707,850,No,No
SLN Lunch Home,Quick Bites,3.9,26,100,No,No
Slo' Food Co.2,Casual Dining,3.7,41,2000,No,No
Sloshed,"Pub, Casual Dining",3.9,96,1200,No,Yes
Slounge - Lemon Tree Hotel,Lounge,3.8,76,1500,No,No
Slounge - Lemon Tree Premier,Lounge,4,62,1500,No,No
Slurpy Shakes,Beverage Shop,3.5,8,300,Yes,No
SLV Andhra Mess,Quick Bites,3.5,5,200,Yes,No
SLV Corner Restaurant,Casual Dining,4.1,364,550,Yes,No
SLV Delite,Casual Dining,3,21,500,No,No
SLV Grand,Quick Bites,3.3,57,300,Yes,No
SLV Kabab Centre,Quick Bites,3.2,4,100,No,No
SLV Ragigudda,Quick Bites,2.8,40,400,Yes,No
SLV Refreshment,Quick Bites,4.1,94,100,No,No
SLV Restaurant,Quick Bites,4.1,379,300,No,No
SLV Swadishta,Quick Bites,3.8,189,300,No,No
SLV Upachar,Quick Bites,3.1,14,250,Yes,No
SLV Upahara,Quick Bites,3.5,4,200,No,No
Sly Granny - The Community House,"Fine Dining, Bar",4.4,953,2500,No,Yes
Smaaash,"Casual Dining, Pub",4,189,1500,No,Yes
Smack,Quick Bites,,40,,No,No
S'Mack,Quick Bites,3.5,9,300,Yes,No
Smack Cafe,Cafe,3.3,4,400,Yes,No
Smacznego,Cafe,4.2,504,550,Yes,No
Smally's Resto Cafe,Cafe,4,128,650,Yes,No
Smise,Cafe,4,1205,650,Yes,Yes
Smoke - The Sizzler House,Casual Dining,3.3,4,900,No,No
Smoke de Burger,Quick Bites,3.6,36,300,Yes,No
Smoke House Deli,Casual Dining,4.6,2490,1600,Yes,No
Smoke Oil Salt,Quick Bites,2.8,40,850,Yes,No
Smoke-A-Pot,"Takeaway, Delivery",3.3,10,500,Yes,No
Smokey Tribe Restaurant,Casual Dining,3.8,264,650,Yes,No
Smokie Brownie,Cafe,3.2,7,600,No,No
Smokin Bites,Quick Bites,3.3,20,200,No,No
Smoodies,Beverage Shop,3.7,22,300,Yes,No
Smoodys,Quick Bites,3,14,350,No,No
Smoor,"Cafe, Dessert Parlor",4.2,287,700,Yes,No
Smooth,Dessert Parlor,2.8,40,200,No,No
Smooth Blender,Beverage Shop,3.4,7,300,Yes,No
Smoothie Hub,Beverage Shop,3.1,4,100,Yes,No
SMS: Stop Making Sense,Quick Bites,2.8,40,400,No,No
Snack House,Quick Bites,3.8,22,200,Yes,No
Snack Knack,Quick Bites,3,36,200,Yes,No
Snack Magic,Quick Bites,3.7,25,250,Yes,No
Snackiey,Quick Bites,3.5,11,250,No,No
Snacks Bite,Quick Bites,3,9,400,Yes,No
Snacks Joint,Quick Bites,3.7,186,150,Yes,No
SnacksJoint,Quick Bites,3.7,52,150,Yes,No
Snack'Ups,Quick Bites,3.5,62,250,Yes,No
Snakk That,"Quick Bites, Beverage Shop",3.9,52,250,Yes,No
Snaxup Restaurant,Quick Bites,3.5,31,300,No,No
Sneha Fast Food,Quick Bites,2.8,40,200,No,No
Snow Gola,Dessert Parlor,3.7,17,150,No,No
Snow Lion Tibet Kitchen,Quick Bites,3.9,263,400,No,No
Snow'ora,Dessert Parlor,2.8,40,350,Yes,No
Sober Turtle,Quick Bites,3.3,39,250,No,No
Soda Bottle Opener Wala,"Casual Dining, Irani Cafee",4.4,3651,1300,Yes,Yes
So-Fat's Dosas,Quick Bites,3.8,43,200,No,No
Soham Bombay Masti Magic,Quick Bites,3.6,16,150,Yes,No
Soho Bar & Grill,Pub,2.7,377,1100,No,No
Somilan Steak House,Casual Dining,4.3,524,800,No,No
Sona Chicken Kabab,Quick Bites,3.2,4,200,No,No
Sonar Bangala,Quick Bites,3.8,75,500,Yes,No
Soo Ra Sang,Casual Dining,4.1,290,1500,No,No
SoopeRolls,"Takeaway, Delivery",3.5,11,250,No,No
Sorse,Casual Dining,4,956,750,Yes,Yes
SOS,Quick Bites,2.8,40,300,Yes,No
Sotally Tober,"Bar, Casual Dining",4.4,194,1200,No,Yes
Sotang's,Quick Bites,3.3,9,250,No,No
Soul Cafe,Cafe,3.9,314,800,No,Yes
Soul City,Casual Dining,3.8,216,2000,No,No
Soul Curry Restaurant,"Casual Dining, Bar",3.6,18,600,No,No
Soul Indian Specialty - Svenska Design Hotel,Fine Dining,3.7,266,2000,Yes,Yes
Soul Treat,Bakery,4.3,269,750,Yes,No
Soundarya Military Hotel,Quick Bites,3.8,27,200,No,No
Soup N Grill,Casual Dining,3.5,14,600,No,No
Soup Station,Delivery,3.9,112,150,Yes,No
Soup'ermanz Kitchen,Cafe,4.1,433,750,Yes,No
South Grand,Casual Dining,3.4,102,400,Yes,No
South House,Casual Dining,3.8,97,800,Yes,No
South Idlis,Quick Bites,4,284,150,Yes,No
South Indian Kitchen,Quick Bites,3.3,6,300,No,No
South Inn,Quick Bites,3.1,24,150,No,No
South Kitchen,Quick Bites,4.3,275,100,Yes,No
South Parade - The Chancery Hotel,"Casual Dining, Bar",3.1,120,1200,No,No
South Point Pub,Bar,3.4,11,800,Yes,No
South Ruchis,Casual Dining,3.9,358,850,Yes,No
South Ruchis Square,Casual Dining,4.3,1033,850,Yes,Yes
South Saviruchi,Quick Bites,3.3,7,250,No,No
South Side,Quick Bites,3.3,6,250,No,No
South Side Grill,Casual Dining,3.5,14,600,Yes,No
South Spicy Bites,Casual Dining,3.7,67,500,Yes,No
South Spicy Bites Express,Quick Bites,3.8,30,400,Yes,No
South Tiffins,Quick Bites,3.5,144,150,Yes,No
South Treat,Food Court,3.4,4,400,Yes,No
Southease,Delivery,3.5,7,400,Yes,No
Southern Spice,Casual Dining,2.6,382,800,Yes,No
Southindies,Casual Dining,4,1230,800,No,Yes
Southinn,Quick Bites,3.1,40,250,Yes,No
Spar Refresh,Food Court,3.4,5,300,No,No
Special Biriyani,Quick Bites,2.9,4,300,No,No
Specialist Restaurant,Quick Bites,3.1,9,400,No,No
Speedbreaker,Quick Bites,3.4,14,300,Yes,No
Speedy Chow,Casual Dining,3.5,6,600,Yes,No
Spellbound,Quick Bites,3.3,4,400,Yes,No
Sphyre - Gateway Hotel,Lounge,3.6,43,1700,No,No
Spice,"Casual Dining, Bar",3.3,4,1500,No,No
Spice 9,Quick Bites,3.4,8,300,No,No
Spice Affair,Casual Dining,3.6,28,600,No,No
Spice Boulevard,Cafe,3.9,89,700,No,No
Spice Code,Casual Dining,3.9,165,1000,No,Yes
Spice Corner,Casual Dining,3.5,16,800,Yes,Yes
Spice Cove - I.V Sanctum,Casual Dining,3.8,88,750,No,No
Spice Darbar,Casual Dining,3.9,63,1000,No,No
Spice Elephant,Casual Dining,4.1,787,800,Yes,No
Spice Garden by Dum Mast Biryani,Casual Dining,3.2,59,550,No,No
Spice It,Casual Dining,3.8,51,1200,No,No
Spice It - Ibis Hotel,Casual Dining,3,74,1200,No,Yes
Spice Kitchen,Casual Dining,3.8,325,750,Yes,Yes
Spice of Andhra,Quick Bites,3.7,41,500,No,No
Spice of India & Chai Tales,Quick Bites,2.8,40,400,No,No
Spice Of Kolkata,Food Court,2.8,116,400,No,No
Spice Resto,Quick Bites,3.3,5,400,No,No
Spice Terrace - JW Marriott,"Fine Dining, Microbrewery",4.3,755,3000,No,Yes
Spice Treat,Food Court,2.8,40,400,No,No
Spice Up,Casual Dining,3.8,146,600,Yes,No
Spices,Quick Bites,3.2,4,450,Yes,No
Spices The Food Joint,Casual Dining,3.1,9,550,No,No
Spicy Andhra,Casual Dining,2.9,22,600,Yes,No
Spicy Corner,Quick Bites,3.9,187,250,Yes,No
Spicy Fingers,Casual Dining,3.4,36,600,Yes,No
Spicy House,Quick Bites,3.7,95,500,Yes,No
Spicy Hub,Quick Bites,3,26,400,No,No
Spicy Khana Point,Quick Bites,2.8,70,500,Yes,No
Spicy Kitchen,Quick Bites,3.7,62,500,Yes,No
Spicy Onion,Casual Dining,3.6,30,400,Yes,No
Spicy Paratha House,Quick Bites,3,9,450,Yes,No
Spicy Punjabi Pharatha,Casual Dining,2.7,33,500,Yes,No
Spicy Restaurant,Quick Bites,3,25,400,No,No
Spicy Tadka,Delivery,3.5,47,400,No,No
Spicy Tandoor,Quick Bites,2.8,40,150,No,No
Spicy World,"Takeaway, Delivery",3.4,7,200,Yes,No
Spoon Me,Delivery,3.4,8,400,No,No
Spoonful Of Sugar,"Dessert Parlor, Cafe",4,861,800,No,No
Spoorthi Ice Cream,Dessert Parlor,,40,150,No,No
Sports Bar - Le Meridien,Lounge,3.7,33,2500,No,No
Spotlight - The Golden Tulip,Casual Dining,2.5,118,850,No,Yes
Sprinkled,"Takeaway, Delivery",3.8,17,500,No,No
Spurthi Foods,"Takeaway, Delivery",3.7,70,300,Yes,No
Squeez Juice Bar,Food Court,3.8,107,400,No,No
Squeez Juice Bars,Beverage Shop,3.3,10,200,No,No
SR Andhra Spicy House,Casual Dining,3.8,240,800,Yes,No
SR Choco Station,"Takeaway, Delivery",3.4,7,200,Yes,No
Sree Abhiruchi,Casual Dining,2.6,20,600,No,No
Sree Ayyappaa Foods,Quick Bites,2.8,40,300,No,No
Sree Banashankari Donne Biriyani,Quick Bites,2.8,40,250,Yes,No
Sree Bangalore Bhavan,Quick Bites,3.7,44,400,Yes,No
Sree Gajanana Fruit Juice Centre,Quick Bites,3.3,6,150,No,No
Sree Ganesh Fruit Juice Centre,Beverage Shop,3.6,12,100,Yes,No
Sree Ganesha Fruits & Juice,Beverage Shop,3.4,5,100,Yes,No
Sree Krishna Kafe,Quick Bites,3.7,55,200,Yes,No
Sree Krishna Sagar Greens,Quick Bites,2.8,33,300,No,No
Sree Lakshmi Venkateshwara Andhra Mess,Mess,3.5,17,400,No,No
Sree Saravana Bhavan,Quick Bites,3.2,14,400,No,No
Sree Spicy Hub,Casual Dining,3.9,224,600,Yes,No
Sree Vinayaka Puttukada,Quick Bites,2.8,40,250,No,No
Sreeraj Lassi Bar,Beverage Shop,3.9,61,150,Yes,No
Sri Annapoorna Andhra Mess,Mess,,40,300,No,No
Sri Annapoorna Bajji Center,"Sweet Shop, Quick Bites",3.9,15,100,No,No
Sri Ayodhya Veg,Quick Bites,3.6,24,300,No,No
Sri Balaji Andhra Mess,Mess,2.8,40,300,No,No
Sri Balaji Tiffin Centre,Quick Bites,2.8,40,300,No,No
Sri Banasankri Donne Biriyani,Quick Bites,3.4,6,400,No,No
Sri Banashankari Donne Biriyani,Quick Bites,3.7,80,150,Yes,No
Sri Banashankari Upahara,Quick Bites,2.8,40,150,Yes,No
Sri Bhagya Grand,Casual Dining,3.4,185,450,Yes,No
Sri Bhagya Veg,Quick Bites,2.8,40,300,No,No
Sri Brahmi Kuteera,Quick Bites,3.4,40,150,No,No
Sri Dalma,Quick Bites,3.8,77,350,Yes,No
Sri Datta Biryani House,Quick Bites,3.5,54,300,No,No
Sri Devi Baker's,"Bakery, Quick Bites",3.9,41,200,No,No
Sri Devi Cafe,Quick Bites,3.7,33,200,No,No
Sri Devi Darshan,Quick Bites,2.8,40,200,No,No
Sri Devi Sagar,Quick Bites,3.7,161,300,No,No
Sri Durga Cane Fresh,Beverage Shop,3.4,5,100,No,No
Sri Durga Chats and Juice,Quick Bites,4,182,150,Yes,No
Sri Durga Fast Food,Quick Bites,2.8,40,100,No,No
Sri Durga Grand,Quick Bites,3.3,5,300,No,No
Sri Durga Nellore Mess,Mess,3.3,351,350,Yes,No
Sri Fast Food,Quick Bites,3.1,5,200,No,No
Sri Ganesh Fruit Juice Centre,Beverage Shop,3.2,4,100,Yes,No
Sri Ganesh Juice and Chats,"Beverage Shop, Quick Bites",3.5,18,150,No,No
Sri Ganesh Juice Corner,Quick Bites,3,9,150,No,No
Sri Ganesh Juice Junction,Beverage Shop,3.5,5,200,Yes,No
Sri Ganesh Sweets,Sweet Shop,3.7,16,250,No,No
Sri Ganesh Upahar,Quick Bites,3.4,11,400,No,No
Sri Ganesha Fruit Juice Centre,Beverage Shop,3.2,17,100,Yes,No
Sri Guru Kottureshwara Davangere Benne Dosa,Quick Bites,4.1,558,150,Yes,No
Sri Guru Nalapaka Restaurant,Casual Dining,3.5,20,550,No,No
Sri Guru Vaibhava Veg,Quick Bites,2.8,40,250,No,No
Sri Gurudev Darshini,Quick Bites,3.4,13,150,Yes,No
Sri Idli Mane,Quick Bites,3.7,16,150,No,No
Sri Jayadurga Biryani,"Takeaway, Delivery",3.7,38,300,Yes,No
Sri Jayalakshmi Bakery,Bakery,3.3,5,250,No,No
Sri Krishna Aramane,Quick Bites,3.7,40,200,Yes,No
Sri Krishna Bhavan,Quick Bites,3.4,14,250,No,No
Sri Krishna Bhavan Sweets,"Sweet Shop, Quick Bites",3.9,56,350,No,No
Sri Krishna Darshini,Quick Bites,3.1,4,200,No,No
Sri Krishna Foodline,Quick Bites,3.3,4,100,No,No
Sri Krishna Kitchen,Quick Bites,3.6,22,350,Yes,No
Sri Krishna Sagar,Casual Dining,3.2,119,400,Yes,No
Sri Krishna Sweets,Sweet Shop,3.7,22,250,Yes,No
Sri Krishna Upahar,Quick Bites,3.6,25,250,No,No
Sri Krishna Veg,Quick Bites,3.5,4,100,No,No
Sri Krishnar Sweets,"Quick Bites, Sweet Shop",3.3,7,150,No,No
Sri Lakshmi Curries & Pickles,Casual Dining,2.9,60,400,No,No
Sri Lakshmi Darshini,Quick Bites,3.4,5,150,No,No
Sri Lakshmi Dhaba,Quick Bites,2.9,255,250,Yes,No
Sri Lakshmi Hotel,Quick Bites,3.4,7,250,Yes,No
Sri Lakshmi Kabab Center,Quick Bites,3.3,4,200,No,No
Sri Lakshmi Vaibhav,Casual Dining,4,156,500,Yes,No
Sri Laxmi Venkateshwara Coffee Bar,Quick Bites,4.4,343,100,No,No
Sri Manjunatha Foods,Quick Bites,3.6,14,250,Yes,No
Sri Maruthi Hotel,Quick Bites,3.9,66,300,No,No
Sri Maruthi Miltry Hotel,Quick Bites,3.8,94,300,Yes,No
Sri Matha Sagar,Quick Bites,2.8,21,250,No,No
Sri Murali Krishna,Casual Dining,2.8,40,600,Yes,No
Sri Nandi Grand,Quick Bites,3.4,6,300,Yes,No
Sri Nanjundeshwara Canteen,Quick Bites,2.8,40,150,No,No
Sri Pillaiyar Bhavan,Quick Bites,4,117,300,Yes,No
Sri Punjabi Dhaba,Dhaba,3.2,44,400,Yes,No
Sri Raghavendra Davanagere Benne Dose Hotel,Quick Bites,4,36,200,No,No
Sri Raghavendra Prasanna Coffee Beans Club,Quick Bites,2.8,40,150,No,No
Sri Raghavendra Prasanna Coffee Club,Quick Bites,3.6,9,100,No,No
Sri Rajalakshmi Sweets,Sweet Shop,3.6,22,300,Yes,No
Sri Rajasthani Foods,Quick Bites,3.5,9,200,Yes,No
Sri Rama,Quick Bites,3.2,4,200,No,No
Sri Rama Vilas Sweets,Sweet Shop,3.8,30,150,No,No
Sri Ruchi Restuarant,Casual Dining,3.7,71,450,Yes,No
Sri Sagar,Quick Bites,3.5,11,300,No,No
Sri Sai 99 Variety Dosa,Quick Bites,3.6,37,300,Yes,No
Sri Sai Bhavan,Quick Bites,3.6,37,300,Yes,No
Sri Sai Cafe,Quick Bites,3.5,10,200,Yes,No
Sri Sai Darshini Veg Restaurant,Quick Bites,2.8,40,300,No,No
Sri Sai Dosa Center,Quick Bites,2.8,40,100,No,No
Sri Sai Grand,Casual Dining,3.6,73,,No,No
Sri Sai Mango Tree Restaurant,Casual Dining,3.6,336,600,No,No
Sri Sai Palace,Quick Bites,3.8,88,300,Yes,Yes
Sri Sai Ram's,Quick Bites,4.2,61,200,No,No
Sri Sairam's Chats and Juice,Quick Bites,4.2,471,100,No,No
Sri Sankara Cafe,Quick Bites,3.6,26,100,Yes,No
Sri Sapana Dhaba,Quick Bites,3.2,11,250,Yes,No
Sri Saravana Bhavan,Quick Bites,3.7,35,200,No,No
Sri Shakti Sweets,"Sweet Shop, Quick Bites",3.4,9,150,No,No
Sri Shankar Andhra Mess,Mess,3.3,4,200,No,No
Sri SLV Bhavan,Quick Bites,2.8,40,250,No,No
Sri Srinivas Park Hotel,Quick Bites,2.8,40,250,Yes,No
Sri Udupi,Quick Bites,,40,400,Yes,No
Sri Udupi Deluxe,Quick Bites,3.5,11,400,No,No
Sri Udupi Food Hub,Casual Dining,2.8,40,500,No,No
Sri Udupi Grand,Quick Bites,2.8,40,200,No,No
Sri Udupi Park,Casual Dining,3.1,226,500,Yes,No
Sri Udupi Sagar,Quick Bites,3.5,12,200,No,No
Sri Udupi Veg,Quick Bites,3.3,4,250,No,No
Sri Vasavi Mane Thindi,Quick Bites,2.9,16,150,No,No
Sri Vasavi Restaurant,Quick Bites,3.6,30,250,No,No
Sri Vasavi Super Sandwich,Quick Bites,3.1,19,200,No,No
Sri Venkateshwar Bhavan,Quick Bites,3.5,7,200,No,No
Sri Venkateshwara Chat Centre,Quick Bites,3.5,12,100,No,No
Sri Venkateshwara Sweet House,Dessert Parlor,3.3,8,100,No,No
Sri Venkateshwara Sweet Meat Stall,Quick Bites,4.1,201,250,No,No
